rooms,area,bathrooms,toilets,facades_number,number_floors,build_year,has_terrace,has_garden,has_garage,elevator,is_furnished,leased,running_water,primary_energy_consumption,postal_code,cadastral_income,has_swimming_pool,property_type_house,property_type_other,locality_antwerp,locality_braine-l-alleud,locality_brussels,locality_gent,locality_laken,locality_liege,locality_lier,locality_mons,locality_mouscron,locality_namur,locality_nivelles,locality_oostende,locality_other,locality_pont-a-celles,locality_roeselare,locality_seraing,locality_tournai,locality_tubize,locality_turnhout,locality_wavre,property_subtype_duplex,property_subtype_other,property_subtype_residence,property_subtype_studio,property_subtype_villa,has_equipped_kitchen_Not equipped,has_equipped_kitchen_Partially equipped,has_equipped_kitchen_Super equipped,y_true,y_pred_oof,loss
3.0,106.0,1.0,1.0,3.0,2.0,2024.0,1,0,0,1,0,0.0,1.0,232.0,3582,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,377000.0,352491.8772931644,24508.122706835624
3.0,279.0,2.0,3.0,4.0,3.0,2010.0,1,1,1,0,0,0.0,1.0,76.0,7500,1048.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,590000.0,669330.8843687719,79330.88436877192
2.0,118.0,1.0,1.0,2.0,2.0,1920.0,1,1,0,0,0,0.0,1.0,509.0,7170,421.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,149999.0,105795.10169840099,44203.89830159901
4.0,425.0,3.0,3.0,2.0,2.0,2010.0,1,0,1,0,0,0.0,1.0,144.0,1800,1150.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,359000.0,1101617.3491021267,742617.3491021267
2.0,92.0,1.0,1.0,3.0,5.0,2010.0,1,0,0,0,0,0.0,1.0,56.0,6600,803.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,279000.0,285467.96272427746,6467.962724277459
2.0,112.0,2.0,2.0,3.0,7.0,2010.0,1,0,1,1,0,0.0,1.0,232.0,4000,803.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,412000.0,384677.5832601998,27322.41673980019
4.0,196.0,2.0,3.0,2.0,2.0,2010.0,1,1,0,0,0,0.0,1.0,627.0,7370,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,275000.0,218082.7022397126,56917.29776028739
1.0,56.0,1.0,1.0,3.0,3.0,2017.0,1,0,0,1,0,0.0,1.0,125.0,1000,803.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,415000.0,276481.189647298,138518.81035270198
3.0,422.0,1.0,1.0,3.0,3.0,1900.0,1,1,1,0,0,0.0,1.0,351.0,6984,669.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,450000.0,387578.67136024375,62421.32863975625
2.0,170.0,1.0,1.0,4.0,1.0,2010.0,1,1,1,0,0,1.0,1.0,830.0,4602,798.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,285000.0,284220.1313742053,779.868625794712
3.0,197.0,1.0,2.0,3.0,3.0,2010.0,1,1,1,0,0,0.0,0.0,377.0,1785,1343.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,364000.0,428993.60757131135,64993.60757131135
8.0,347.0,4.0,1.0,3.0,3.0,2010.0,1,1,1,0,0,0.0,1.0,341.0,3080,4010.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1350000.0,1202121.365836147,147878.634163853
4.0,198.0,1.0,2.0,2.0,3.0,2010.0,0,1,1,0,0,0.0,1.0,0.0,7170,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,338917.0,326539.24056240264,12377.759437597357
3.0,131.0,1.0,2.0,3.0,4.0,1970.0,1,1,1,0,0,0.0,1.0,369.0,4400,803.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,245000.0,278423.75509565935,33423.75509565935
2.0,99.0,1.0,1.0,3.0,3.0,2023.0,1,0,0,1,0,0.0,1.0,232.0,7700,803.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,264100.0,268616.55962407094,4516.559624070942
2.0,88.0,1.0,1.0,2.0,3.0,1967.0,0,0,0,1,0,0.0,1.0,97.0,9000,820.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,339900.0,288652.6362337377,51247.36376626231
4.0,160.0,2.0,2.0,2.0,3.0,2010.0,1,1,0,0,0,0.0,1.0,279.0,4821,369.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,190000.0,214818.39570204171,24818.395702041715
